,v,a,vsp,CO2
164,3,-0.027777778,0.255235972,0.3426
165,3.027777778,0.261111111,1.132514209,0.3328
166,3.033333333,-0.055555556,0.172152954,0.3532
167,3.055555556,0.05,0.49817303,0.3568
168,3.055555556,-0.122222222,-0.028025955,0.3572
169,3.083333333,-0.688888889,-1.775093729,0.6412
170,3.1,-0.094444444,0.059252564,1.86
171,3.127777778,-0.088888889,0.076119695,1.3342
172,3.15,0.3,1.299011902,1.0416
173,3.166666667,-0.294444444,-0.573172994,0.2532
174,3.183333333,0.377777778,1.565949114,0.5932
175,3.194444444,-0.311111111,-0.631129823,0.3782
176,3.222222222,0.094444444,0.670396333,0.3666
177,3.233333333,0.427777778,1.753502446,0.3524
178,3.266666667,-0.2,-0.279688109,0.3664
179,3.288888889,-0.122222222,-0.020437157,0.3688
180,3.311111111,-0.383333333,-0.893667056,0.3664
181,3.338888889,0.005555556,0.401870924,0.3524
182,3.366666667,0.1,0.725568282,0.3588
183,3.388888889,-0.411111111,-1.006075309,0.3814
184,3.394444444,0.472222222,1.989795739,0.3818
185,3.416666667,-0.394444444,-0.957037603,0.3684
186,3.427777778,-0.077777778,0.120996505,0.3492
187,3.444444444,-0.1,0.049658753,0.351
188,3.45,0.15,0.914349709,0.3692
189,3.472222222,-0.072222222,0.146856112,0.3716
190,3.488888889,-0.305555556,-0.670718567,0.3584
191,3.5,0.388888889,1.762168132,0.3406
192,3.527777778,-0.25,-0.477189969,1.9462
193,3.533333333,0.411111111,1.859628152,2.0906
194,3.555555556,-0.044444444,0.250234147,2.4096
195,3.583333333,-0.205555556,-0.32471523,0.9874
196,3.605555556,-0.75,-2.2925605,1.134
197,3.611111111,-0.011111111,0.375256795,0.549
198,3.633333333,0.155555556,0.987644406,0.2308
199,3.638888889,-0.333333333,-0.793927247,0.3668
200,3.661111111,0.005555556,0.440492362,1.1082
201,3.672222222,-0.061111111,0.19765385,1.1526
202,3.694444444,0.166666667,1.041828266,1.8802
203,3.716666667,0.094444444,0.780373801,2.1448
204,3.738888889,0.433333333,2.054468345,2.6694
205,3.755555556,0.155555556,1.019667336,0.8984
206,3.777777778,-0.238888889,-0.465457252,0.4694
207,3.777777778,-0.027777778,0.332019685,2.5318
208,3.794444444,-0.066666667,0.187289843,2.6026
209,3.827777778,-0.072222222,0.169423098,1.7526
210,3.85,-0.044444444,0.280967299,0.1974
211,3.861111111,-0.011111111,0.404945464,0.2568
212,3.861111111,-0.061111111,0.211902962,0.4068
213,3.877777778,0.183333333,1.155076919,0.448
214,3.894444444,-0.411111111,-1.144738085,0.606
215,3.916666667,0.083333333,0.781512721,0.5234
216,3.922222222,-0.144444444,-0.113836014,1.381
217,3.944444444,0.194444444,1.225732574,1.3888
218,3.944444444,-0.127777778,-0.045169139,1.0684
219,3.966666667,-0.1,0.063162086,0.638
220,3.972222222,0.072222222,0.749343841,0.4958
221,4,-0.277777778,-0.644875845,1.0876
222,4.016666667,0.1,0.878375996,2.282
223,4.05,-0.011111111,0.425431601,0.6246
224,4.055555556,0.211111111,1.329659122,0.5548
225,4.083333333,-0.183333333,-0.271311803,2.6954
226,4.105555556,-0.022222222,0.38855854,3.7336
227,4.111111111,-0.294444444,-0.729450387,1.8378
228,4.122222222,0.255555556,1.539477407,1.0766
229,4.138888889,0.2,1.312404723,0.7684
